Arrival_ID,Arrival_Code,Arrival_Country,Arrival_Year,Arrival_Number
41.00,ECU,Ecuador,2011.00,1141000.00
42.00,ECU,Ecuador,2012.00,1272000.00
43.00,ECU,Ecuador,2013.00,1364000.00
44.00,ECU,Ecuador,2014.00,1557000.00
45.00,ECU,Ecuador,2015.00,1543000.00
46.00,EST,Estonia,2011.00,2665000.00
47.00,EST,Estonia,2012.00,2744000.00
48.00,EST,Estonia,2013.00,2873000.00
49.00,EST,Estonia,2014.00,2918000.00
50.00,EST,Estonia,2015.00,2989000.00
51.00,FIN,Finland,2011.00,2623000.00
52.00,FIN,Finland,2012.00,2778000.00
53.00,FIN,Finland,2013.00,2797000.00
54.00,FIN,Finland,2014.00,2731000.00
55.00,FIN,Finland,2015.00,2622000.00
56.00,FRA,France,2011.00,80499000.00
57.00,FRA,France,2012.00,81980000.00
58.00,FRA,France,2013.00,83634000.00
59.00,FRA,France,2014.00,83701000.00
60.00,FRA,France,2015.00,84452000.00
61.00,GEO,Georgia,2011.00,2822000.00
62.00,GEO,Georgia,2012.00,4428000.00
63.00,GEO,Georgia,2013.00,5392000.00
64.00,GEO,Georgia,2014.00,5516000.00
65.00,GEO,Georgia,2015.00,5901000.00
66.00,DEU,Germany,2011.00,28374000.00
67.00,DEU,Germany,2012.00,30411000.00
68.00,DEU,Germany,2013.00,31545000.00
69.00,DEU,Germany,2014.00,32999000.00
70.00,DEU,Germany,2015.00,34970000.00
71.00,HUN,Hungary,2011.00,3822000.00
72.00,HUN,Hungary,2012.00,4164000.00
73.00,HUN,Hungary,2013.00,4388000.00
74.00,HUN,Hungary,2014.00,4618000.00
75.00,HUN,Hungary,2015.00,4929000.00
76.00,IDN,Indonesia,2011.00,7650000.00
77.00,IDN,Indonesia,2012.00,8044000.00
78.00,IDN,Indonesia,2013.00,8802000.00
79.00,IDN,Indonesia,2014.00,9435000.00
80.00,IDN,Indonesia,2015.00,10407000.00
81.00,IRN,"Iran, Islamic Republic Of",2011.00,3354000.00
82.00,IRN,"Iran, Islamic Republic Of",2012.00,3834000.00
83.00,IRN,"Iran, Islamic Republic Of",2013.00,4769000.00
84.00,IRN,"Iran, Islamic Republic Of",2014.00,4967000.00
85.00,IRN,"Iran, Islamic Republic Of",2015.00,5237000.00
86.00,ISR,Israel,2011.00,2820000.00
87.00,ISR,Israel,2012.00,2886000.00
88.00,ISR,Israel,2013.00,2962000.00
89.00,ISR,Israel,2014.00,2927000.00
90.00,ISR,Israel,2015.00,2799000.00
91.00,ITA,Italy,2011.00,46119000.00
92.00,ITA,Italy,2012.00,46360000.00
93.00,ITA,Italy,2013.00,47704000.00
94.00,ITA,Italy,2014.00,48576000.00
95.00,ITA,Italy,2015.00,50732000.00
96.00,JPN,Japan,2011.00,6219000.00
97.00,JPN,Japan,2012.00,8358000.00
98.00,JPN,Japan,2013.00,10364000.00
99.00,JPN,Japan,2014.00,13413000.00
100.00,JPN,Japan,2015.00,19737000.00
101.00,JOR,Jordan,2011.00,3960000.00
102.00,JOR,Jordan,2012.00,4162000.00
103.00,JOR,Jordan,2013.00,3945000.00
104.00,JOR,Jordan,2014.00,3990000.00
105.00,JOR,Jordan,2015.00,3761000.00
106.00,KOR,"Korea, Republic Of",2011.00,9795000.00
107.00,KOR,"Korea, Republic Of",2012.00,11140000.00
108.00,KOR,"Korea, Republic Of",2013.00,12176000.00
109.00,KOR,"Korea, Republic Of",2014.00,14202000.00
110.00,KOR,"Korea, Republic Of",2015.00,13232000.00
111.00,LVA,Latvia,2011.00,1493000.00
112.00,LVA,Latvia,2012.00,1435000.00
113.00,LVA,Latvia,2013.00,1536000.00
114.00,LVA,Latvia,2014.00,1843000.00
115.00,LVA,Latvia,2015.00,2024000.00
116.00,LTU,Lithuania,2011.00,1775000.00
117.00,LTU,Lithuania,2012.00,1900000.00
118.00,LTU,Lithuania,2013.00,2012000.00
119.00,LTU,Lithuania,2014.00,2063000.00
120.00,LTU,Lithuania,2015.00,2071000.00
121.00,LUX,Luxembourg,2011.00,874000.00
122.00,LUX,Luxembourg,2012.00,950000.00
123.00,LUX,Luxembourg,2013.00,945000.00
124.00,LUX,Luxembourg,2014.00,1038000.00
125.00,LUX,Luxembourg,2015.00,1090000.00
126.00,NZL,New Zealand,2011.00,2511000.00
127.00,NZL,New Zealand,2012.00,2473000.00
128.00,NZL,New Zealand,2013.00,2629000.00
129.00,NZL,New Zealand,2014.00,2772000.00
130.00,NZL,New Zealand,2015.00,3039000.00
131.00,PAN,Panama,2011.00,1473000.00
132.00,PAN,Panama,2012.00,1606000.00
133.00,PAN,Panama,2013.00,1658000.00
134.00,PAN,Panama,2014.00,1745000.00
135.00,PAN,Panama,2015.00,2110000.00
136.00,POL,Poland,2011.00,13350000.00
137.00,POL,Poland,2012.00,14840000.00
138.00,POL,Poland,2013.00,15800000.00
139.00,POL,Poland,2014.00,16000000.00
140.00,POL,Poland,2015.00,16722000.00
141.00,PRT,Portugal,2011.00,7264000.00
142.00,PRT,Portugal,2012.00,7503000.00
143.00,PRT,Portugal,2013.00,8097000.00
144.00,PRT,Portugal,2014.00,9092000.00
145.00,PRT,Portugal,2015.00,9957000.00
146.00,ROU,Romania,2011.00,7611000.00
147.00,ROU,Romania,2012.00,7937000.00
148.00,ROU,Romania,2013.00,8019000.00
149.00,ROU,Romania,2014.00,8442000.00
150.00,ROU,Romania,2015.00,9331000.00
151.00,RUS,Russian Federation,2011.00,24932000.00
152.00,RUS,Russian Federation,2012.00,28177000.00
153.00,RUS,Russian Federation,2013.00,30792000.00
154.00,RUS,Russian Federation,2014.00,32421000.00
155.00,RUS,Russian Federation,2015.00,33729000.00
156.00,ZAF,South Africa,2011.00,8339000.00
157.00,ZAF,South Africa,2012.00,9188000.00
158.00,ZAF,South Africa,2013.00,9537000.00
159.00,ZAF,South Africa,2014.00,9549000.00
160.00,ZAF,South Africa,2015.00,8904000.00
161.00,ESP,Spain,2011.00,56177000.00
162.00,ESP,Spain,2012.00,57464000.00
163.00,ESP,Spain,2013.00,60675000.00
164.00,ESP,Spain,2014.00,64939000.00
165.00,ESP,Spain,2015.00,68215000.00
,,,,
